,Customer Name,Review Title,Rating,Reviews
180,Bonajit Kumar Patowary,Apple's Superphone,5.0 out of 5 stars,"  Model: iPhone 12 Pro Max (256GB) - Pacific BlueAs always, it packs with the best display, best camera and best interface.But the battery backup is the cherry on the cake, the trolls for iPhone battery issues will finally come to an end.The only issue I am facing is the lack of touch id, as face id doesn't work with the mask on, even on trying with the multiple ways as shown on the internet.Overall it is a perfect super-phone.If anyone have a  budget, iPhone 12 pro max is the one, you should go for."
181,Girish Sai varma,iPhone 12 Pro Max gold my buying review,5.0 out of 5 stars,"  This is my buying review of iPhone 12 Pro Max after 2 weeks usePro1.Photos are very good definitely you love2. Literally it will get very wonderful videos3.my first Impression is display.this made me moreLove towards this 12 series4.you can love using this box shaped design5.gaming experience gives me play more on this phone6.screen scrolling is very smooth7.no eye strain to me by over usage8. Very fast face lock in this 12 seriesCons1. Camera zooming upto 12x only2. 60 hz refresh rate3.  If your back glass breaks it will cost 40000 to 500004.in box no charger only type c to lighting cable5.music you want to buy in iPhone6.you can’t record calls7.notch sometime it will Disturb by seeing movies8.in apple accessories are very costly9.face lock only, no finger print .in this COVID situation we are wearing mask,so face lock is no usePin we want to useFinally phone is very goodI taken gold it very good in real world"
182,Ajay kumar,overrated and overpriced,1.0 out of 5 stars,  its literally so overpriced with nothing much to offer...even the camera quality of mid range phones are acceptable and it has nothing much else to boast..so mediocre battery doesn't last even a full day on average use...apple is a money grabber for its brand name with little customization if you wanna make your phone feel more personal ...its so not  a value for money
183,Mohit Raina,Impressive but but costs much,4.0 out of 5 stars,  My gf wants it eagerly to get her I phone 12 max nd I bought it by selling her two kidneys.. First I thought it costs me for one but then I found she has only one nd I thought completing her wish is more important... As it was true love... Now phone is mine as my gf is no more.. Rip love u baby
184,Apoorva Shah,Waste of money,1.0 out of 5 stars,"  Hello, I phone 12 pro max is Waste product.... Not worth. Go for Samsung..... i will definitely recommend samsung.... Made in India..."
185,Shyamal Ganguly,All-rounder and Reliable.,5.0 out of 5 stars,"  Coming from S9plus, this feels like a major upgrade interms of every aspect.. mainly battery life, performance and camera. The display is not a high refresh one, but still its smooth enough, true to life colours and sharp. Overall it's a very reliable phone. If you can spend the money then just go for it."
186,Athul.k.v,Who can buy,5.0 out of 5 stars,  Those who have money can buy only they should buy if u have no money don't struggle and buy 70% of the money goes for brandingIf u don't have money there are many phone which has same features or more features.... So I don't recommend this phone to allIts good to use but no charges no ear port ....📸
187,Suraj,"Colour doesn’t look gold, it’s white creamy",2.0 out of 5 stars,"  I purchased Gold colour last week. But found only the side strip is gold. Its back is white creamy colour. Very sad to say it’s not Gold. 11 Pro is GOLD colour.Battery life is ok. If use is continuous, it drains in 24 hrs.No value for money. Apple just charging brand value. No charger, then airpods cost."
188,Sssssssss,What About Pegasus???,1.0 out of 5 stars,  Most secure phone! What about Pegasus?? Where the security of privacy??? Most secure phone! What about Pegasus?? Where the security of privacy???
189,Varsha sawant,About Price,5.0 out of 5 stars,  First Tho Badi Chori Karke Phone LIya... Ab Wo gir K screen tut Gayi hai... Ab Usse Banvane Pehle se Badi Chori Karni Padegi.. Kuch Idea Do Apple Valo....!!!!
190,Shourya Pratap Sinha,Beast mobile,5.0 out of 5 stars,  MY MODEL :- IPHONE 12 PRO MAX 512GB PACIFIC BLUE...I BOUGHT IT FROM RELIANCE DIGITAL AND THE MOBILE IS BEAST... BEAST BATTERY LIFE ...BEST DISPLAY ...EVERYTHING BEST IN THE MOBILE...DEFINITELY GO FOR THIS😊😊
191,Alok Pandey,A great phone **,5.0 out of 5 stars,"  I have been using this device for almost 5 months now. Iphones from the very onset have been about performance and getting tasks done rather than gimmicks. Camera even though 12 mp is best in class. Display and audio quality are immersive and impressive. Call quality has been good. Enabling e sim drains battery a bit much more quickey imo.** Honestly, unless u want a big size iphone that can create a 3-D map of object around you,  you don't need to go for 12 pro max go for iphone 12. It ticks most of the boxes at almost half the price."
192,P. M. DHUTRAJ,Don't buy.,1.0 out of 5 stars,  Don't buy. Not worth it. Don't waste your hard earned money in this over priced mobile. Better buy a android phone.
193,Ashish Kumar Yadav,This phone rock's,5.0 out of 5 stars,"  This phone rocks! At first I was hesitant to buy it because of it's price. But then my Friend advised me to sell kidneys if I wanted to buy this I had to sell both kidneys because one was not enough. Never regretted my decision.it has unquestionably better video quality and touch sensitivity. If you want to do - Play games, watch movies, listen music etc etc- this phone produces best feature in every case. There is one problem though: Friend is no more :"
194,Amazon Customer,very good camera,4.0 out of 5 stars,"  camera is excellent but battery performance is poor and charging time is too high.. and most important apple now want your liver too with kidney as it is not providing adaptor with box saying that people have already a charger, Apple needs to confirm in which I phone apple provide a C Type adaptor."
195,Abhishek,WOW,5.0 out of 5 stars,  Price is high but worth buying it. Go for it guys don't worry just go for it. Worth every penny
196,Muhammed Thahir,Over priced,1.0 out of 5 stars,  I don't know why this phone is so much expensive. Not worth for the money we are spending. Highly disappointed 😞😞
197,Anill K Jetla,The iPhone 12 Pro Max is the best phone that Apple has made.,5.0 out of 5 stars,"  The iPhone 12 Pro Max is the best phone that Apple has made. It has the biggest and best screen, the best camera and the longest-lasting battery."
198,Praveen Kumar Gupta,Poor marketing and selling strategies,1.0 out of 5 stars,  I didn't buy becuase charger is not with it . Apple is going with very tough time for saving charger price in for creating revenue..keep it up sir..
199,Saroj Pattnaik,Think again if you are an android user…,5.0 out of 5 stars,"  Don’t go for it, if you are an android user…lot of features are lacking in apple …not at all user friendly.. I am a fan of MacBook,but iPhone…I am trapped now…got this last month, can’t get rid of it"
200,RaNa, Iphone 12 pro max ❤️ Very good phone and everything is good in it.,5.0 out of 5 stars,  Iphone 12 pro max in “battery life” is the best and display! Iphone 12 pro max software optimization is the best..
201,Pranav,Cheap phone,1.0 out of 5 stars,  I get iPhone 4s what is this my 1lakh rupees is gone it's cheapest phone bad bad productDon't buy this😠😠😠😠
202,vandana bhatt,Amazing,5.0 out of 5 stars,  This took me 2 kidneys..i am dead but it worth buying this 🤗..i really recommend you to die and buy this
203,Daivik,Best iPhone series in a long time,5.0 out of 5 stars,"  The best iPhone design since 5S.Loving the screen and battery backup. Smooth performance. Loving my phone. Highly recommended to everyone who prefers battery performance, camera and the smooth ios performance."
204,Lisa,definitely good,5.0 out of 5 stars,"  It's like I'm addicted to itguys trust me it's amazing I know the price of much but it is worth it who even wants 30,000 now I definitely recommed you to buy it k bye"
205,Srujan Annarao Bolewar,Worst product.,1.0 out of 5 stars,  Most bad phone I ever received. Don't go for it. They doesn't provide chargers as well as cases. Third class.
206,Amazon Customer,क्यों इतने पैसे बिगाड़ रहे हो🤣,1.0 out of 5 stars,
207,P chandra rao,Apple needs to think about providing charger in this budget of phone.,1.0 out of 5 stars,"  In this price, apple should be provide charger. It does not make any sense to purchase charger with spending extra money."
208,shahbaaz khan,Looting People's in India,1.0 out of 5 stars,  I DONT BUY IPHONES BECAUSE I AM NOT A FOOL. OVERPRICED LOOTING INDIAN PEOPLE'S. DESPAY IS 60HZ OH! COME ON JUST COMPARE IT WITH 120HZ YOU WILL SEE THE DIFFERENCE WHAT YOU ARE MISSING
209,Vish,Great iPhone,5.0 out of 5 stars,"  Bought iPhone 12 Pro Max in Gold from Apple Online Store. An excellent phone with fantastic cameras.The flat edged design is great.Overall, the best iPhone yet."
210,Kumari soni,Very bad,1.0 out of 5 stars,  Maja nahi aya yaar thoda 1 -2 lakh rupay kam karo😎😎 kuch khass nahi hai buraa lagta hai bhai 🙂
211,Md Manzoor ahmed,Wast of money,1.0 out of 5 stars,  12 pro max wast of money. Waiting for 13.  Why 12pro max I don't know. Money wast and literally........ any how let it be ....... am buying because Steve job.
212,Tareq ansari,Totally Overpriced but phone is great,5.0 out of 5 stars,  Great phone but overpriced I purchase this phone from dubai only at 94kCamera is great display is great design is awesome
213,Harsh.,NOT SURE,5.0 out of 5 stars,"  Pls buy only if u are capable of wasting 1 lakh in a week , as value of this is not worth , better buy the most expensive or best OnePlus , muchh better ."
214,Manzil,Worth it,5.0 out of 5 stars,  Great phone don’t believe the hate .Wanna try it buy it .As an hardcore S series user i am very happy with the change to iphone.
215,Sohan Bhagat,Waste of money,1.0 out of 5 stars,  I dont liked it bcoz to make a call from this is very logical and not recommended to buy Dont buy this
216,Sahil khan,Best Iphone,5.0 out of 5 stars,  Best Iphone on the planet...best camera ...best battery.. Little expensive but worth every penny... go for it..... 👍🏻👍🏻👍🏻 Great deal
217,Puja bhardwaj,The camera is outstanding,5.0 out of 5 stars,  Superb phone everything is awesome loved it thanks a lot apple for making this phone this phone is a must buy and the price hurts a little bit but the phone is excellent
218,Monu,Better one,5.0 out of 5 stars,  Good features handset with effective speed with upgraded technology and increase in refresh rate should have been considered. Sheerness and practical application
219,Ashok agrawal,I am a student I want a mobile but I don't. Have money,5.0 out of 5 stars,  I am a student I want to have this product in return I will make ten videos on youtube about this phoneWith this buying link
220,Lakshit grover,Nice device,5.0 out of 5 stars,  Good phone nice price and battery life is good nice quality device and nice ios quality good performance and good features
221,Tanmay Basak,This iPhone is more thick in his edge.,3.0 out of 5 stars,"  Better operating system than any other smartphone, but Android is good for giving is Freedom. The edge is soo thick."
222,Rishabh gupta,Best mobile machine of all time,5.0 out of 5 stars,"  I wasnt an iPhone lover, until I bought this beauty.Beyond my imagination. I just love it in my hand."
223,Moon,.....,1.0 out of 5 stars,  Ugh what to say about the reviewYeah that's it ...woah never expected this it's good butbtyen again the amount
224,Vijay,Good mobile I like it,5.0 out of 5 stars,  I like this mobile 📱 very very very much.But their amount is too much.But anyway I like this mobile💰💰💰💰💰💰💰💰
225,Aarush Chatterjee ,"""THE MAX""",5.0 out of 5 stars,"  This IPhone is the most excellent,  beautiful & really a max phone. I have never sawn such a best design and the next generation phone and the camera has best clarity. I LOVE ALL  APPLE PRODUCTS."
226,Kaustubh,🌟🌟🌟🌟🌟,5.0 out of 5 stars,  Best phone ever  years ahead of other brandsA14 bionic boats speed x5 so I give it 5 star ⭐⭐⭐⭐⭐
227,Gokul,iPhone 12 pro 256gb,5.0 out of 5 stars,  Iphone 12 pro is one of the best phone everGoodCamera dam sure 100% goodJust say awesomePhone gives premium look
228,ZaKiR SaTtAr,Camera,5.0 out of 5 stars,  Good mobile  from iphone camera is very good thikness is also good I love this phone iPhone 12 pro max
229,Amazon Customer,Superb protection of your data,5.0 out of 5 stars,  Awesome battery life and value for money buy to feel it i have just upgraded my 11 pro max to 12 pro max
230,MANTU PANDIT,Made in China,3.0 out of 5 stars,  I think apple should invest more in their battery performance it is a china made product with a apple branding.
231,shazia,Awesome,5.0 out of 5 stars,  Best ever iphone 🥰👍 my suggestion is just go for it.... Awesome iphone 12 pro max and mini cool !
232,Shubhajit g.,Not good in this price,2.0 out of 5 stars,  Battery charger is not  fast... camara quality is good...but display picture quality is not good...phone price is too high....bad mobile in this price
233,Ali Kokni,Affordable,5.0 out of 5 stars,  Wonderful productVery quick responseValue for money take it limited deal buy fast awesome phone I am surprised ok
234,Komal J.,Good,4.0 out of 5 stars,  Good and nice product🙂...😍😍😍I love it...Good quality camera and functions...Value for money 🤑💰Good fingerprint reader and all
235,ABDUL RAHMAN,12 pro max,5.0 out of 5 stars,"  Best iPhone till date in every aspect , runs like a beast. & awesome battery life. Worth purchasing  go for it"
236,Mj.,This is my I phone in 2128,5.0 out of 5 stars,  Very costly I literally sold my bike to buy and I don't know what to do with I phone know
237,Kishan Moirangthem,My favorite iphone 12 pro max,5.0 out of 5 stars,  I like it the best iphone 12 pro max best product and i love it so i need it and i have no money and this my favorite iphone 12 pro max
238,Sarajit Das,Good product,5.0 out of 5 stars,  Value for money ....Happy with the product .Thank you .But add the charger adapter .Please .
239,Sanju Vikashini,This product is good,5.0 out of 5 stars,  The product is really good. IT HAS MORE FEATURES. I LIKE IT SO MUCH. I received it earlier. Thank you.
240,Razeen,Must buy,5.0 out of 5 stars,  Must buyAmazing product... 🌀The best smartphone of the year goes to 🍏 apple iPhone 12 mini also pro and max
241,mohammed shafi,Business services,5.0 out of 5 stars,  It's really value for money I really like itAm very happy to bay this productBattery life good picture quality
242,Amazon Customer,Excellent,5.0 out of 5 stars,"  Product is excellent for gaming ,bloging video  shooting it has better camera than DSLE if you buy it paisa vasul"
243,Shwetha r,Best,5.0 out of 5 stars,  Awesome phone must buy this iphone 12 pro max because best phone I took iphone 12 pro than that iphone 12 pro max is best
244,Adithya Acharya,Good product but price too high,5.0 out of 5 stars,"  Overall good and battery life,picture quality is good but value of money is too high.if you have more budget buy this."
245,Ameen,Lidar scanner,5.0 out of 5 stars,  For now the iPhone is Above allGood luck exploring the fastest smartphone  available until the next one is out cheers✌🏼
246,Prithivi p,My dream phone,5.0 out of 5 stars,  I love this phone...my dream phone....one day i buy this phone..this phone is fabulous outstanding phone i need this phone
247,RANJIT KUMAR,Best phone,5.0 out of 5 stars,  I like it its the best phoneI love this my father buyied worth itGuys do buy this phone
248,Mraslam,It make me to sell both kidneys of my neighbors but worth it,5.0 out of 5 stars,  Yeah mobile is better then neighbor  and worth it go eye closed and buy it . It will definitely satisfy you !!!😁😁😁
249,Keshavrajput486,It’s lit,5.0 out of 5 stars,  It’s apple dude but don’t choose the blue colour it’s doesn’t look good  White colour is much better  So good luck
250,Harpreet kapoor,Totally sad,5.0 out of 5 stars,  Phone is good but too expensive mobile phoneBut I you have money go for this phoneThank you 😊
251,Ayush,Dream,5.0 out of 5 stars,  One day i will bought this phone 🥺🥺😖 hope it will come soon I phone 12 pro max 💪 .
252,sunil agrawal,VERY EXPENSIVE,5.0 out of 5 stars,  Want you buy iphone but have sell 1 kidney and bloodFeeling to buy new kidneys s s s s
253,Ashu,#Myfavouraiteiphone,5.0 out of 5 stars,  I love this iphone too much but the price is soo high that i cant even dream to afford it#iphone
254,Sanam venkatesh,iPhone 12😍,5.0 out of 5 stars,"  I didn't like it, because I can't afford to buy it,but i love it when i will gotUntil waiting"
255,Gagan,Awesome 😎,5.0 out of 5 stars,"  Woooow what aa phone .. awesome camera s . excellent work and look  love u apple . superb, brillant ."
256,ajay,Wish for buying iphone,5.0 out of 5 stars,"  If I had this much money, I would have bought it i Phone 12 #wish!!  Such an amazing phone 😍😍"
257,shuvam podder,WOW !! TRUELY THE VIPER !!,5.0 out of 5 stars,  I LOVED WHEN I SAW THE KNIFE CUT EDGES FOR THE FIRST TIME. JUST WOW !! THE BEST PHONE TO HAVE .
258,Rushabh J.,I LOVE THOSE THINGS WHICH CAN'T AFFORDABLE FOR ME 😅🤣🤣,4.0 out of 5 stars,  I LOVE THOSE THINGS WHICH CAN'T AFFORDABLE FOR ME 😅🤣🤣
259,Adarsh Jaiswal,!,5.0 out of 5 stars,  Waste of money
260,ShanKaR Asam,The best mobile,5.0 out of 5 stars,
261,Prakhar,The Gold King of smartphones 2020 - 2021,5.0 out of 5 stars,"  Paisa vasool phoneMind-blowing phone i have no words for it. Its just awesome.Camera 5/5 Lidar works very good.Battery backup 5/5Performance 5/5 gaming experience very smooth.Display 5/5 very thin edgesSound quality 5/5 serious feels like pocket JBL, clear sound with bass.At last for its looks 5/5"
262,Krushna,The best iPhone with the best design,5.0 out of 5 stars,"  I have been into apple ecosystem since iPhone 4s.Since Apple started to move to larger displays they eventually let go the square design which I was missing a lot and did not hope that It ll ever comeback.The time when I saw they are bringing back the squared flat design I was blown away.I pre-ordered from Amazon as soon as it was available.Thanks to amazon I got the delivery on 14th.As soon as I unboxed it I was like wow.The phone feels ultra premium in hand with stainless steel borders and matte finish back.The display lives upto the standards of Apple.Battery life is at par with last year iPhones,though on paper it has a smaller battery.Coming to the camera samples it is again the best camera in a smartphone curretly.The 10bit HDR video is amazing.They have incorporated sensor shift stabilization which I am yet to test.Some of the pros and cons :Pros :DesignLow light camera shotsHDR VideoBattery lifeA14 5nm bionic chipCons:Price is relatively high compared to other marketsNo Charging adapter(might be a huge letdown for people newly moving to iOS)No high refresh rate displays(Although the display does not feel slow )What I felt :I upgraded from 11 Pro Max.For an average user you ll not find a huge difference in terms of overall usage and experience.The size might not be a fit for everyone since its really huge.I am yet to test the magsafe accessories as these aren't available on Amazon yet.So if some one looking to upgrade from iPhone XS or older ,will be a huge upgrade in terms of camera ,performance,battery life etc.Overall,its actually the best iPhone with the all time fav design WITH AN ULTRA PRO MAX PREMIUM COST :p(I ll add camera samples and edit this review after few months of usage)"
263,Anuj Sharma,Mindblowing phone!,5.0 out of 5 stars,  Totally worth the money! Superb phone. Very sleek and pretty! The camera is really next level. Low light photos are just unbelievable!
264,Arun,Best camera,5.0 out of 5 stars,"  Best in all aspects, it's an iphone and it's too good. Handle with care!!"
265,Amazon Customer,Nice,5.0 out of 5 stars,  1 no.....👌
266,Yellow9977,An Apple user will love it,5.0 out of 5 stars,  ❤️ it.
267,Tena West,Best phone ever with huge price.,5.0 out of 5 stars,  Best phone but price is a bit high
268,Jayant,My first iPhone ever,5.0 out of 5 stars,"  I’ve been an android user forever and very honestly this is my first iPhone ever. Are there things that can be better, definitely there are and there will always be. That being said is this one of the best phones I’ve ever had, I would say definitely yes. Everything about it is very intuitive, fast and well put together. Could this phone have been more reasonably priced, definitely yes but no one flashed their iPhones or “i” anything because they were so cheap to buy and maintain. There are a lot of things done well and a couple of them are the camera and battery, yes you heard me right the battery in this phone is amazing. I am a heavy user my screen remains on for the better part of 8-10 hours a day and I get on an average 30-45 calls everyday but I end up charging this phone only once in 2 days."
269,deepa hans,"Imma be honest, I am broke as hell",5.0 out of 5 stars,"  The taste is good but this company just cheadep with us by it's cheap marketing process. The information mentioned in the discription is just teap of the ice bark it also contain vanilla flavour,salt and tocopherol even don't know what the think is🤨🤨😠.Not only this it contains 20.90g sugar😱😱🤯 which is probably 7 tab. Spoon 😡😡😡 I think it don't the difference of sugar and jaggery. It will just put on some weight and colastroal and negligible amount of only 3.22g and 9.78g protein.This product is no way different from an of the Market product good for nothing dab for everything. Support if you agree✊."
270,Nitai B.,Overpriced af!!!,4.0 out of 5 stars,  Nice phone little bit of heating issue.And the price is way too high .if u can afford it go for it
271,Amazon Customer,Sliver,4.0 out of 5 stars,  Two supper sliver iPhone 12 pro max 256 on hands with dark green colour case look great in green colour
272,Malti negi,HELP HELP HELP HELP HELP HELP,5.0 out of 5 stars,  I love this phone. But I can't purchase this phone. I am in11th class and still using my mom phone.HELP HELP HELP HELP HELP HELP
273,Vikyath,Awsm product 🍎,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   It is an awsm product ❤. Definitely worth if you're a premium phone lover.. Battery life is incredibly long.. that's y I went for 12 pro max instead of pro. Best for gaming too. I would suggest to go for it."
274,Pavan Rajesh,A little too bit overpriced,5.0 out of 5 stars,  A good product but.....A little overpricedBetter buy iphone 11 pro or iphone 12 if you want you want 5g
275,AMITESH ,Best design,5.0 out of 5 stars,  Loved.it best phone ever  loved it loved the design body camera is awesom feels like hloding mixure of iPhone 4 and iPhone 11 Pro max
276,Abhyuday Pradhan,Value for money,5.0 out of 5 stars,  The Price is somewhat higher but its performance is very good  I bought this for my online classes and it's best mobile.
277,Ojasvi Sharma,Great,5.0 out of 5 stars,  Must buy phone pictures quality is awesome battery life is goodGo for itGreat phone by AppleLoved it
278,Aryan s.,Best phone,5.0 out of 5 stars,  Amazing ! Best phone ever ! Must buy u want regret ! One of the best phone in the world!
279,shahamat,Go for it !!,5.0 out of 5 stars,  Value for money .. A14 is lit !!! Also d camera ofc and face id .. Cld say beast tbh
280,Sanket,Beast at its best,5.0 out of 5 stars,"  One word.. ""beast"""
281,Amazon Customer,Most amazing phone,5.0 out of 5 stars,"  Amazing phone , best camera and battery life , shifted from android to ios  , trust it is amazing , cost is high but Kwality is superb"
282,Mohit Agarwal,Great Bling Phone,4.0 out of 5 stars,  Great phone unfortunately had problems with the phone hanging several times during a phone call. Phone had to rebooted several times a day.
283,Shrushti ⚡,Value money,5.0 out of 5 stars,  Amazing productThis is my first iOS phone❤️nd I just loved itI saw so many people buying iphone ..my dream was to take a iphoneAnd now I took it is like my dream come true⚡⚡
